Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.0171E-10,-0.0086065,0.03608,0,0,0,0.30423,0.0009137,-1.0719E-13,3.2476E-14,0.00019907,-4.2939E-05,0.00074891,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/base_link.STL,,body-1;body-2;תמך-1;תמך-2;תמך-3;תמך-4;תמך-5;תמך-6;תמך-7;תמך-8;תמך-9;תמך-10;תמך-11;תמך-12;asb-11-1;asb-11-2;asb-11-3;asb-11-4;2-56 X 0.250 PHS (PHS-02)-16;2-56 X 0.250 PHS (PHS-02)-17;2-56 X 0.250 PHS (PHS-02)-18;2-56 X 0.250 PHS (PHS-02)-19;2-56 X 0.250 PHS (PHS-02)-24;2-56 X 0.250 PHS (PHS-02)-25;2-56 X 0.250 PHS (PHS-02)-26;2-56 X 0.250 PHS (PHS-02)-27;Nut Hex 2-56 (SN-02)-1;Nut Hex 2-56 (SN-02)-2;Nut Hex 2-56 (SN-02)-3;Nut Hex 2-56 (SN-02)-4;Nut Hex 2-56 (SN-02)-9;Nut Hex 2-56 (SN-02)-10;Nut Hex 2-56 (SN-02)-11;Nut Hex 2-56 (SN-02)-12;HUB-15-1;HUB-15-2;2-56 X 0.250 PHS (PHS-02)-32;2-56 X 0.250 PHS (PHS-02)-33;2-56 X 0.250 PHS (PHS-02)-34;2-56 X 0.250 PHS (PHS-02)-35;2-56 X 0.250 PHS (PHS-02)-36;2-56 X 0.250 PHS (PHS-02)-37;2-56 X 0.250 PHS (PHS-02)-38;2-56 X 0.250 PHS (PHS-02)-39;4-40 x 0.375 LG SHCS (SHS-02)-1;4-40 x 0.375 LG SHCS (SHS-02)-2;4-40 x 0.375 LG SHCS (SHS-02)-3;4-40 x 0.375 LG SHCS (SHS-02)-4;4-40 x 0.375 LG SHCS (SHS-02)-5;4-40 x 0.375 LG SHCS (SHS-02)-6;4-40 x 0.375 LG SHCS (SHS-02)-7;4-40 x 0.375 LG SHCS (SHS-02)-8;4-40 x 0.375 LG SHCS (SHS-02)-9;4-40 x 0.375 LG SHCS (SHS-02)-10;4-40 x 0.375 LG SHCS (SHS-02)-11;4-40 x 0.375 LG SHCS (SHS-02)-12;4-40 x 0.375 LG SHCS (SHS-02)-13;4-40 x 0.375 LG SHCS (SHS-02)-14;4-40 x 0.375 LG SHCS (SHS-02)-16;4-40 x 0.375 LG SHCS (SHS-02)-17;4-40 x 0.375 LG SHCS (SHS-02)-18;4-40 X 0.375 PHS (PHS-03)-97;4-40 x 0.375 LG SHCS (SHS-02)-19;4-40 x 0.375 LG SHCS (SHS-02)-20;4-40 x 0.375 LG SHCS (SHS-02)-21;4-40 x 0.375 LG SHCS (SHS-02)-22;4-40 x 0.375 LG SHCS (SHS-02)-23;4-40 x 0.375 LG SHCS (SHS-02)-24;4-40 x 0.375 LG SHCS (SHS-02)-25;2-56 X 0.250 PHS (PHS-02)-130;2-56 X 0.250 PHS (PHS-02)-131;2-56 X 0.250 PHS (PHS-02)-132;2-56 X 0.250 PHS (PHS-02)-133;2-56 X 0.250 PHS (PHS-02)-134;#2 X 0.250 PHTS (PHTS-01)-20;2-56 X 0.250 PHS (PHS-02)-135;2-56 X 0.250 PHS (PHS-02)-136;2-56 X 0.250 PHS (PHS-02)-137;#2 X 0.250 PHTS (PHTS-01)-17;#2 X 0.250 PHTS (PHTS-01)-19;#2 X 0.250 PHTS (PHTS-01)-18;BB-03-1;hornservo-4;Nut Hex 4-40 (SN-01)-109;servonut-4;#2 X 0.250 PHTS (PHTS-01)-22;#2 X 0.250 PHTS (PHTS-01)-23;#2 X 0.250 PHTS (PHTS-01)-24;#2 X 0.250 PHTS (PHTS-01)-21;servonut-1;hornservo-1;Nut Hex 4-40 (SN-01)-110;4-40 X 0.375 PHS (PHS-03)-108;BB-03-10;#2 X 0.250 PHTS (PHTS-01)-6;#2 X 0.250 PHTS (PHTS-01)-8;#2 X 0.250 PHTS (PHTS-01)-5;#2 X 0.250 PHTS (PHTS-01)-7;servonut-6;hornservo-6;BB-03-7;Nut Hex 4-40 (SN-01)-114;4-40 X 0.375 PHS (PHS-03)-105;#2 X 0.250 PHTS (PHTS-01)-1;#2 X 0.250 PHTS (PHTS-01)-3;#2 X 0.250 PHTS (PHTS-01)-4;#2 X 0.250 PHTS (PHTS-01)-2;servonut-3;hornservo-3;4-40 X 0.375 PHS (PHS-03)-106;Nut Hex 4-40 (SN-01)-113;BB-03-16,global_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_hip,0.015044,-0.0059121,0.011971,0,0,0,0.080321,1.9516E-05,4.7874E-07,-3.7331E-07,1.2616E-05,-2.8574E-09,1.2576E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fr_hip.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fr_hip.STL,,servo-4;holdservo-6;holdservo-10;servo-12;hornservo-12;servonut-10;#2 X 0.250 PHTS (PHTS-01)-25;#2 X 0.250 PHTS (PHTS-01)-26;#2 X 0.250 PHTS (PHTS-01)-27;#2 X 0.250 PHTS (PHTS-01)-28;BB-03-3;2-56 X 0.250 PHS (PHS-02)-44;2-56 X 0.250 PHS (PHS-02)-45;2-56 X 0.250 PHS (PHS-02)-46;2-56 X 0.250 PHS (PHS-02)-47;Nut Hex 2-56 (SN-02)-28;Nut Hex 2-56 (SN-02)-29;Nut Hex 2-56 (SN-02)-30;Nut Hex 2-56 (SN-02)-31;4-40 X 0.375 PHS (PHS-03)-1;4-40 X 0.375 PHS (PHS-03)-2;Nut Hex 4-40 (SN-01)-65;Nut Hex 4-40 (SN-01)-66;4-40 X 0.375 PHS (PHS-03)-93;4-40 X 0.375 PHS (PHS-03)-94;4-40 X 0.375 PHS (PHS-03)-95;4-40 X 0.375 PHS (PHS-03)-96;Nut Hex 4-40 (SN-01)-77;Nut Hex 4-40 (SN-01)-78;Nut Hex 4-40 (SN-01)-79;Nut Hex 4-40 (SN-01)-80;4-40 X 0.375 PHS (PHS-03)-98;Nut Hex 4-40 (SN-01)-98;Nut Hex 4-40 (SN-01)-71;Nut Hex 4-40 (SN-01)-72;4-40 X 0.375 PHS (PHS-03)-3;4-40 X 0.375 PHS (PHS-03)-4,fr_hip_cs,fr_hip_z_axis,fr_hip_joint,revolute,0.059512,0.078854,0.0005334,0,0,0.76931,base_link,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
fr_knee,0.045275,-0.0044813,-0.00025994,0,0,0,0.034681,1.6475E-05,9.8627E-07,-8.0147E-08,2.0946E-05,-1.0632E-08,9.0407E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fr_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fr_knee.STL,,asb-10-8;servonut-16;hornservo-18;Nut Hex 2-56 (SN-02)-24;Nut Hex 2-56 (SN-02)-25;Nut Hex 2-56 (SN-02)-26;Nut Hex 2-56 (SN-02)-27;4-40 X 0.375 PHS (PHS-03)-99;asb-11-11;#2 X 0.250 PHTS (PHTS-01)-73;#2 X 0.250 PHTS (PHTS-01)-74;#2 X 0.250 PHTS (PHTS-01)-76;BB-03-19;Nut Hex 4-40 (SN-01)-115;2-56 X 0.250 PHS (PHS-02)-158;2-56 X 0.250 PHS (PHS-02)-159;2-56 X 0.250 PHS (PHS-02)-160;2-56 X 0.250 PHS (PHS-02)-161;#2 X 0.250 PHTS (PHTS-01)-75,fr_knee_cs,fr_knee_z_axis,fr_knee_joint,revolute,0.028451,0,0,1.5816,-0.78534,0,fr_hip,-0.010779,0,-0.99994,0.9414,5.23,-1.5707,1.5707,,,,,,,,
fr_foot,0.020857,-0.003581,-0.0013921,0,0,0,0.057595,6.4423E-06,-3.9831E-07,1.4001E-08,1.1705E-05,3.7382E-07,9.2683E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fr_foot.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fr_foot.STL,,servo-18;holdservo-18;asb-06-6;hub-08-6;at-01-5;REC-06-4;2-56 X 0.250 PHS (PHS-02)-40;2-56 X 0.250 PHS (PHS-02)-41;2-56 X 0.250 PHS (PHS-02)-42;2-56 X 0.250 PHS (PHS-02)-43;2-56 X 0.250 PHS (PHS-02)-112;2-56 X 0.250 PHS (PHS-02)-113;2-56 X 0.250 PHS (PHS-02)-114;Nut Hex 2-56 (SN-02)-17;Nut Hex 2-56 (SN-02)-18;Nut Hex 2-56 (SN-02)-19;Nut Hex 2-56 (SN-02)-20;Nut Hex 2-56 (SN-02)-21;Nut Hex 2-56 (SN-02)-22;Nut Hex 2-56 (SN-02)-23;4-40 x 0.250 SHCS (SHS-01)-6;4-40 X 0.375 PHS (PHS-03)-5;4-40 X 0.375 PHS (PHS-03)-6;4-40 X 0.375 PHS (PHS-03)-7;4-40 X 0.375 PHS (PHS-03)-8;Nut Hex 4-40 (SN-01)-67;Nut Hex 4-40 (SN-01)-68;Nut Hex 4-40 (SN-01)-69;Nut Hex 4-40 (SN-01)-70,fr_foot_cs,fr_foot_z_axis,fr_foot_joint,revolute,0.07307,-0.018656,0.0002011,3.1339,-0.0075232,-2.3433,fr_knee,0,0,1,0.9414,5.23,-1.5707,1.5707,,,,,,,,
fl_hip,0.015006,0.0056423,0.012299,0,0,0,0.080321,1.9522E-05,-4.398E-07,-3.738E-07,1.261E-05,6.3953E-09,1.2576E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fl_hip.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fl_hip.STL,,servo-1;holdservo-1;holdservo-7;servo-7;hornservo-7;servonut-7;#2 X 0.250 PHTS (PHTS-01)-53;#2 X 0.250 PHTS (PHTS-01)-54;#2 X 0.250 PHTS (PHTS-01)-55;#2 X 0.250 PHTS (PHTS-01)-56;BB-03-11;4-40 X 0.375 PHS (PHS-03)-53;4-40 X 0.375 PHS (PHS-03)-54;4-40 X 0.375 PHS (PHS-03)-55;4-40 X 0.375 PHS (PHS-03)-56;Nut Hex 4-40 (SN-01)-1;Nut Hex 4-40 (SN-01)-2;Nut Hex 4-40 (SN-01)-7;Nut Hex 4-40 (SN-01)-8;4-40 X 0.375 PHS (PHS-03)-73;4-40 X 0.375 PHS (PHS-03)-74;4-40 X 0.375 PHS (PHS-03)-75;4-40 X 0.375 PHS (PHS-03)-76;Nut Hex 4-40 (SN-01)-73;Nut Hex 4-40 (SN-01)-74;Nut Hex 4-40 (SN-01)-75;Nut Hex 4-40 (SN-01)-76;4-40 X 0.375 PHS (PHS-03)-109;Nut Hex 4-40 (SN-01)-107;Nut Hex 2-56 (SN-02)-95;Nut Hex 2-56 (SN-02)-97;Nut Hex 2-56 (SN-02)-96;Nut Hex 2-56 (SN-02)-94;2-56 X 0.250 PHS (PHS-02)-84;2-56 X 0.250 PHS (PHS-02)-86;2-56 X 0.250 PHS (PHS-02)-85;2-56 X 0.250 PHS (PHS-02)-87,fl_hip_cs,fl_hip_z_axis,fl_hip_joint,revolute,-0.059512,0.078854,0,0,0,2.3666,base_link,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
fl_knee,0.045273,0.0044813,-0.00044769,0,0,0,0.034681,1.6475E-05,-9.863E-07,-5.0096E-08,2.0946E-05,6.6452E-09,9.0402E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fl_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fl_knee.STL,,asb-10-3;hornservo-13;servonut-13;BB-03-12;Nut Hex 2-56 (SN-02)-90;Nut Hex 2-56 (SN-02)-91;Nut Hex 2-56 (SN-02)-92;Nut Hex 2-56 (SN-02)-93;4-40 X 0.375 PHS (PHS-03)-110;Nut Hex 4-40 (SN-01)-108;asb-11-16;2-56 X 0.250 PHS (PHS-02)-138;2-56 X 0.250 PHS (PHS-02)-139;2-56 X 0.250 PHS (PHS-02)-140;2-56 X 0.250 PHS (PHS-02)-141;#2 X 0.250 PHTS (PHTS-01)-81;#2 X 0.250 PHTS (PHTS-01)-82;#2 X 0.250 PHTS (PHTS-01)-83;#2 X 0.250 PHTS (PHTS-01)-84,fl_knee_cs,fl_knee_z_axis,fl_knee_joint,revolute,0.028449,0,0,-1.5775,-0.78538,0,fl_hip,-0.0067372,0,-0.99998,0.9414,5.23,-1.5707,1.5707,,,,,,,,
fl_foot,0.021142,0.0035788,-0.0013921,0,0,0,0.057595,6.4423E-06,3.9845E-07,1.1196E-08,1.1705E-05,-3.7378E-07,9.2683E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fl_foot.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/fl_foot.STL,,servo-13;holdservo-13;asb-06-1;hub-08-1;at-01-6;REC-06-2;2-56 X 0.250 PHS (PHS-02)-76;2-56 X 0.250 PHS (PHS-02)-77;2-56 X 0.250 PHS (PHS-02)-78;2-56 X 0.250 PHS (PHS-02)-79;2-56 X 0.250 PHS (PHS-02)-127;2-56 X 0.250 PHS (PHS-02)-128;2-56 X 0.250 PHS (PHS-02)-129;Nut Hex 2-56 (SN-02)-87;Nut Hex 2-56 (SN-02)-88;Nut Hex 2-56 (SN-02)-89;4-40 x 0.250 SHCS (SHS-01)-1;4-40 X 0.375 PHS (PHS-03)-49;4-40 X 0.375 PHS (PHS-03)-50;4-40 X 0.375 PHS (PHS-03)-51;4-40 X 0.375 PHS (PHS-03)-52;Nut Hex 4-40 (SN-01)-3;Nut Hex 4-40 (SN-01)-4;Nut Hex 4-40 (SN-01)-5;Nut Hex 4-40 (SN-01)-6;Nut Hex 2-56 (SN-02)-98;Nut Hex 2-56 (SN-02)-99;Nut Hex 2-56 (SN-02)-100;Nut Hex 2-56 (SN-02)-101,fl_foot_cs,fl_foot_z_axis,fl_foot_joint,revolute,0.073066,0.018656,0.00012569,-3.1368,-0.0047025,2.3434,fl_knee,0,0,1,0.9414,5.23,-1.5707,1.5707,,,,,,,,
bl_hip,0.015013,-0.0039618,0.012299,0,0,0,0.080321,1.9539E-05,-2.7002E-07,-3.7333E-07,1.2593E-05,-3.7558E-08,1.2576E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/bl_hip.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/bl_hip.STL,,servo-3;holdservo-3;holdservo-9;servo-9;hornservo-9;servonut-9;#2 X 0.250 PHTS (PHTS-01)-65;#2 X 0.250 PHTS (PHTS-01)-66;#2 X 0.250 PHTS (PHTS-01)-67;#2 X 0.250 PHTS (PHTS-01)-68;BB-03-17;2-56 X 0.250 PHS (PHS-02)-108;2-56 X 0.250 PHS (PHS-02)-109;2-56 X 0.250 PHS (PHS-02)-110;2-56 X 0.250 PHS (PHS-02)-111;Nut Hex 2-56 (SN-02)-71;Nut Hex 2-56 (SN-02)-72;Nut Hex 2-56 (SN-02)-73;Nut Hex 2-56 (SN-02)-74;4-40 X 0.375 PHS (PHS-03)-69;4-40 X 0.375 PHS (PHS-03)-70;4-40 X 0.375 PHS (PHS-03)-71;4-40 X 0.375 PHS (PHS-03)-72;Nut Hex 4-40 (SN-01)-29;Nut Hex 4-40 (SN-01)-30;Nut Hex 4-40 (SN-01)-31;Nut Hex 4-40 (SN-01)-32;4-40 X 0.375 PHS (PHS-03)-81;4-40 X 0.375 PHS (PHS-03)-82;4-40 X 0.375 PHS (PHS-03)-83;4-40 X 0.375 PHS (PHS-03)-84;Nut Hex 4-40 (SN-01)-89;Nut Hex 4-40 (SN-01)-90;Nut Hex 4-40 (SN-01)-91;Nut Hex 4-40 (SN-01)-92;4-40 X 0.375 PHS (PHS-03)-114;Nut Hex 4-40 (SN-01)-103,bl_hip_cs,bl_hip_z_axis,bl_hip_joint,revolute,-0.053162,-0.12711,0,0,0,-2.372,base_link,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
bl_knee,0.045291,0.0044813,-0.0012523,0,0,0,0.034681,1.6475E-05,-9.8627E-07,7.8716E-08,2.0946E-05,-1.0442E-08,9.0407E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/bl_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/bl_knee.STL,,asb-10-5;hornservo-15;servonut-15;BB-03-18;Nut Hex 2-56 (SN-02)-65;Nut Hex 2-56 (SN-02)-66;Nut Hex 2-56 (SN-02)-67;Nut Hex 2-56 (SN-02)-68;4-40 X 0.375 PHS (PHS-03)-115;Nut Hex 4-40 (SN-01)-104;asb-11-17;#2 X 0.250 PHTS (PHTS-01)-97;#2 X 0.250 PHTS (PHTS-01)-98;#2 X 0.250 PHTS (PHTS-01)-99;#2 X 0.250 PHTS (PHTS-01)-100;2-56 X 0.250 PHS (PHS-02)-162;2-56 X 0.250 PHS (PHS-02)-163;2-56 X 0.250 PHS (PHS-02)-164;2-56 X 0.250 PHS (PHS-02)-165,bl_knee_cs,bl_knee_z_axis,bl_knee_joint,revolute,0.028451,0,0,-1.5602,-0.78534,0,bl_hip,0.010587,0,-0.99994,0.9414,5.23,-1.5707,1.5707,,,,,,,,
bl_foot,0.021142,0.0035788,-0.0013921,0,0,0,0.057595,6.4423E-06,3.9845E-07,1.1196E-08,1.1705E-05,-3.7378E-07,9.2683E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/bl_foot.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/bl_foot.STL,,servo-15;holdservo-15;asb-06-3;hub-08-2;at-01-3;REC-06-6;2-56 X 0.250 PHS (PHS-02)-100;2-56 X 0.250 PHS (PHS-02)-101;2-56 X 0.250 PHS (PHS-02)-102;2-56 X 0.250 PHS (PHS-02)-103;2-56 X 0.250 PHS (PHS-02)-121;2-56 X 0.250 PHS (PHS-02)-122;2-56 X 0.250 PHS (PHS-02)-123;Nut Hex 2-56 (SN-02)-62;Nut Hex 2-56 (SN-02)-63;Nut Hex 2-56 (SN-02)-64;4-40 x 0.250 SHCS (SHS-01)-3;4-40 X 0.375 PHS (PHS-03)-65;4-40 X 0.375 PHS (PHS-03)-66;4-40 X 0.375 PHS (PHS-03)-67;4-40 X 0.375 PHS (PHS-03)-68;Nut Hex 4-40 (SN-01)-25;Nut Hex 4-40 (SN-01)-26;Nut Hex 4-40 (SN-01)-27;Nut Hex 4-40 (SN-01)-28;Nut Hex 2-56 (SN-02)-106;Nut Hex 2-56 (SN-02)-107;Nut Hex 2-56 (SN-02)-108;Nut Hex 2-56 (SN-02)-109,bl_foot_cs,bl_foot_z_axis,bl_foot_joint,revolute,0.073069,0.018656,-0.00019751,3.134,0.0073895,2.3434,bl_knee,0,0,1,0.9414,5.23,-1.5707,1.5707,,,,,,,,
br_hip,0.014987,0.0036918,0.011971,0,0,0,0.080321,1.9536E-05,3.0917E-07,-3.73E-07,1.2596E-05,4.1086E-08,1.2576E-05,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/br_hip.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/br_hip.STL,,servo-6;holdservo-4;holdservo-12;servo-10;hornservo-10;servonut-11;#2 X 0.250 PHTS (PHTS-01)-41;#2 X 0.250 PHTS (PHTS-01)-42;#2 X 0.250 PHTS (PHTS-01)-43;#2 X 0.250 PHTS (PHTS-01)-44;BB-03-8;2-56 X 0.250 PHS (PHS-02)-73;2-56 X 0.250 PHS (PHS-02)-74;2-56 X 0.250 PHS (PHS-02)-75;Nut Hex 2-56 (SN-02)-58;Nut Hex 2-56 (SN-02)-59;Nut Hex 2-56 (SN-02)-60;4-40 X 0.375 PHS (PHS-03)-35;4-40 X 0.375 PHS (PHS-03)-36;4-40 X 0.375 PHS (PHS-03)-39;4-40 X 0.375 PHS (PHS-03)-40;Nut Hex 4-40 (SN-01)-49;Nut Hex 4-40 (SN-01)-50;Nut Hex 4-40 (SN-01)-51;Nut Hex 4-40 (SN-01)-52;4-40 X 0.375 PHS (PHS-03)-85;4-40 X 0.375 PHS (PHS-03)-86;4-40 X 0.375 PHS (PHS-03)-87;4-40 X 0.375 PHS (PHS-03)-88;Nut Hex 4-40 (SN-01)-93;Nut Hex 4-40 (SN-01)-94;Nut Hex 4-40 (SN-01)-95;Nut Hex 4-40 (SN-01)-96;4-40 X 0.375 PHS (PHS-03)-103;Nut Hex 4-40 (SN-01)-101;2-56 X 0.250 PHS (PHS-02)-72;Nut Hex 2-56 (SN-02)-61,br_hip_cs,br_hip_z_axis,br_hip_joint,revolute,0.053162,-0.12711,0.0005334,0,0,-0.77529,base_link,0,0,1,0.9414,5.23,-0.7853,0.7853,,,,,,,,
br_knee,0.045283,-0.0044813,-0.0010646,0,0,0,0.034681,1.6475E-05,9.863E-07,4.8664E-08,2.0946E-05,6.4551E-09,9.0401E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/br_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/br_knee.STL,,asb-10-6;hornservo-16;servonut-19;BB-03-9;Nut Hex 2-56 (SN-02)-54;Nut Hex 2-56 (SN-02)-55;Nut Hex 2-56 (SN-02)-56;Nut Hex 2-56 (SN-02)-57;4-40 X 0.375 PHS (PHS-03)-102;Nut Hex 4-40 (SN-01)-102;asb-11-13;2-56 X 0.250 PHS (PHS-02)-150;2-56 X 0.250 PHS (PHS-02)-151;2-56 X 0.250 PHS (PHS-02)-152;2-56 X 0.250 PHS (PHS-02)-153;#2 X 0.250 PHTS (PHTS-01)-93;#2 X 0.250 PHTS (PHTS-01)-94;#2 X 0.250 PHTS (PHTS-01)-95;#2 X 0.250 PHTS (PHTS-01)-96,br_knee_cs,br_knee_z_axis,br_knee_joint,revolute,0.028449,0,0,1.5643,-0.78538,0,br_hip,0.0065447,0,-0.99998,0.9414,5.23,-1.5707,1.5707,,,,,,,,
br_foot,0.020857,-0.003581,-0.0013921,0,0,0,0.057595,6.4423E-06,-3.9831E-07,1.4001E-08,1.1705E-05,3.7382E-07,9.2683E-06,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/br_foot.STL,1,1,1,1,0,0,0,0,0,0,package://t-hex 3DOF Quad (modified) NEW COORDFRAMES/meshes/br_foot.STL,,servo-16;holdservo-16;asb-06-4;hub-08-4;at-01-4;REC-06-7;2-56 X 0.250 PHS (PHS-02)-64;2-56 X 0.250 PHS (PHS-02)-65;2-56 X 0.250 PHS (PHS-02)-66;2-56 X 0.250 PHS (PHS-02)-67;2-56 X 0.250 PHS (PHS-02)-118;2-56 X 0.250 PHS (PHS-02)-119;2-56 X 0.250 PHS (PHS-02)-120;Nut Hex 2-56 (SN-02)-47;Nut Hex 2-56 (SN-02)-48;Nut Hex 2-56 (SN-02)-49;Nut Hex 2-56 (SN-02)-50;Nut Hex 2-56 (SN-02)-51;Nut Hex 2-56 (SN-02)-52;Nut Hex 2-56 (SN-02)-53;4-40 x 0.250 SHCS (SHS-01)-5;4-40 X 0.375 PHS (PHS-03)-45;4-40 X 0.375 PHS (PHS-03)-46;4-40 X 0.375 PHS (PHS-03)-47;4-40 X 0.375 PHS (PHS-03)-48;Nut Hex 4-40 (SN-01)-53;Nut Hex 4-40 (SN-01)-54;Nut Hex 4-40 (SN-01)-55;Nut Hex 4-40 (SN-01)-56,br_foot_cs,br_foot_z_axis,br_foot_joint,revolute,0.073065,-0.018656,-0.0001221,-3.1369,0.0045678,-2.3433,br_knee,0,0,1,0.9414,5.23,-1.5707,1.5707,,,,,,,,
